Reference, Value, Footprint, Datasheet, Supplier, Supplier P/N, Supplier URL, Manufacturer, Manufacturer P/N, Datasheet URL, Description, Unit Cost, Accessory, Supplier URl, Manufacturer URL, NOTE
C25,0.1u,Capacitors_SMD:C_0603_HandSoldering,
C14,0.1u,Capacitors_SMD:C_0603_HandSoldering,
C27,10u,Capacitors_SMD:C_1210_HandSoldering,,Digikey,490-1891-1-ND,http://www.digikey.com/product-detail/en/GRM32DF51H106ZA01L/490-1891-1-ND/587282,Murata Electronics,GRM32DF51H106ZA01L,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32DF51H106ZA01-01.pdf,CAP CER 10UF 50V Y5V 1210,0.61,,,,
D12,CHARGE,LEDs:LED_0603,,,,,,,,0603 LED (GREEN),,,,,
R23,1k,Resistors_SMD:R_0603_HandSoldering,
D18,SK310A-LTP,custom_footprints:do214ac,,Digikey,SK310A-LTPMSCT-ND,http://www.digikey.com/product-detail/en/SK310A-LTP/SK310A-LTPMSCT-ND/2642066,Micro Commercial Components (MMC),SK310A-LTP,http://www.mccsemi.com/up_pdf/SK32A-LT~SK310A-LT%28DO-214AC%29.PDF,Schottky Diodes & Rectifiers DIODE SCHOTTKY 100V 3A DO214AC ,0.57,,,,
Q1,RRR015P03TL,custom_footprints:sot346,,Digikey,RRR015P03TLCT-ND,http://www.digikey.com/product-detail/en/RRR015P03TL/RRR015P03TLCT-ND/3769397,Rohm Semiconductor,RRR015P03TL,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/transistor/mosfet/rrr015p03tl-e.pdf,MOSFET P-CH 30V 1.5A TSMT3,0.43,,,,
D19,SK310A-LTP,custom_footprints:do214ac,,Digikey,SK310A-LTPMSCT-ND,http://www.digikey.com/product-detail/en/SK310A-LTP/SK310A-LTPMSCT-ND/2642066,Micro Commercial Components (MMC),SK310A-LTP,http://www.mccsemi.com/up_pdf/SK32A-LT~SK310A-LT%28DO-214AC%29.PDF,Schottky Diodes & Rectifiers DIODE SCHOTTKY 100V 3A DO214AC ,0.57,,,,
R37,10k,Resistors_SMD:R_0603_HandSoldering,
R38,10k,Resistors_SMD:R_0603_HandSoldering,
